epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.80472,0,68.1032,0,0,0,0,0,0,54.7693,0,0,0,0
2,8.47049,0,87.0122,0,0,0,0,0,0,53.4937,0,1.63399e-05,1.63399e-05,1.63399e-05
3,12.7858,0,86.9297,0,0,0,0,0,0,51.2433,0,3.20197e-05,3.20197e-05,3.20197e-05
4,16.872,0,75.0811,0,0,0,0,0,0,48.991,0,4.70394e-05,4.70394e-05,4.70394e-05
5,20.8394,0,76.9436,0,0,0,0,0,0,46.8519,0,6.13989e-05,6.13989e-05,6.13989e-05
6,25.2771,0,73.2939,0,0,0,0,0,0,49.5648,0,7.50984e-05,7.50984e-05,7.50984e-05
7,29.5175,0,43.2431,0,0,0,0,0,0,56.3835,0,8.81376e-05,8.81376e-05,8.81376e-05
8,34.2724,0,40.0785,0,0,0,0,0,0,60.7452,0,0.000100517,0.000100517,0.000100517
9,39.1771,0,29.9067,0,0,0,0,0,0,58.4695,0,0.000112236,0.000112236,0.000112236
10,43.5949,0,22.6198,0,0,0,0,0,0,46.1968,0,0.000123295,0.000123295,0.000123295
11,47.7137,0,17.4788,0,0,0,0,0,0,45.8038,0,0.000133693,0.000133693,0.000133693
12,51.9802,0,13.3,0,0,0,0,0,0,45.5975,0,0.000143432,0.000143432,0.000143432
13,56.5177,0,11.1279,0,0,0,0,0,0,52.3657,0,0.00015251,0.00015251,0.00015251
14,60.6233,0,10.8614,0,0,0,0,0,0,59.156,0,0.000160929,0.000160929,0.000160929
15,65.3527,0,10.0101,0,0,0,0,0,0,65.9947,0,0.000168687,0.000168687,0.000168687
16,69.9226,0,9.7647,0,0,0,0,0,0,71.4783,0,0.000175785,0.000175785,0.000175785
17,74.6642,0,9.35641,0,0,0,0,0,0,71.4275,0,0.000182223,0.000182223,0.000182223
