epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81828,0,70.335,0,0,0,0,0,0,54.8334,0,0,0,0
2,9.00296,0,85.9996,0,0,0,0,0,0,53.6401,0,1.63399e-05,1.63399e-05,1.63399e-05
3,13.8216,0,86.9279,0,0,0,0,0,0,51.4456,0,3.20197e-05,3.20197e-05,3.20197e-05
4,18.1933,0,75.1325,0,0,0,0,0,0,49.4701,0,4.70394e-05,4.70394e-05,4.70394e-05
5,22.5141,0,76.3533,0,0,0,0,0,0,48.0684,0,6.13989e-05,6.13989e-05,6.13989e-05
6,26.5202,0,73.3081,0,0,0,0,0,0,53.2576,0,7.50984e-05,7.50984e-05,7.50984e-05
7,30.5574,0,46.1769,0,0,0,0,0,0,61.7546,0,8.81376e-05,8.81376e-05,8.81376e-05
8,35.1318,0,41.1337,0,0,0,0,0,0,73.2839,0,0.000100517,0.000100517,0.000100517
9,41.0031,0,28.4089,0,0,0,0,0,0,84.1875,0,0.000112236,0.000112236,0.000112236
10,47.2763,0,23.8379,0,0,0,0,0,0,96.9861,0,0.000123295,0.000123295,0.000123295
11,53.0701,0,18.4337,0,0,0,0,0,0,99.519,0,0.000133693,0.000133693,0.000133693
12,59.7012,0,13.4223,0,0,0,0,0,0,94.6812,0,0.000143432,0.000143432,0.000143432
13,65.2181,0,11.0391,0,0,0,0,0,0,98.8297,0,0.00015251,0.00015251,0.00015251
14,70.2995,0,10.7898,0,0,0,0,0,0,115.139,0,0.000160929,0.000160929,0.000160929
15,75.4018,0,10.0562,0,0,0,0,0,0,125.783,0,0.000168687,0.000168687,0.000168687
16,80.455,0,9.77559,0,0,0,0,0,0,126.362,0,0.000175785,0.000175785,0.000175785
17,85.1428,0,9.40143,0,0,0,0,0,0,110.75,0,0.000182223,0.000182223,0.000182223
18,89.4756,0,9.37793,0,0,0,0,0,0,110.75,0,0.000188001,0.000188001,0.000188001
19,94.281,0,9.28606,0,0,0,0,0,0,60.2108,0,0.000193119,0.000193119,0.000193119
20,98.3562,0,9.04695,0,0,0,0,0,0,60.2108,0,0.000197576,0.000197576,0.000197576
21,102.444,0,9.06577,0,0,0,0,0,0,19.9407,0,0.000201374,0.000201374,0.000201374
22,106.62,0,8.89653,0,0,0,0,0,0,19.9407,0,0.000204511,0.000204511,0.000204511
23,111.393,0,8.91351,0,0,0,0,0,0,13.7877,0,0.000206988,0.000206988,0.000206988
24,115.654,0,8.81406,0,0,0,0,0,0,13.7877,0,0.000208805,0.000208805,0.000208805
25,119.814,0,8.68986,0,0,0,0,0,0,12.315,0,0.000209962,0.000209962,0.000209962
26,123.922,0,8.57442,0,0,0,0,0,0,12.315,0,0.000210459,0.000210459,0.000210459
27,128.253,0,8.55761,0,0,0,0,0,0,11.4779,0,0.000210295,0.000210295,0.000210295
28,132.153,0,8.4426,0,0,0,0,0,0,11.4779,0,0.000209472,0.000209472,0.000209472
29,136.279,0,8.39291,0,0,0,0,0,0,10.8291,0,0.000207988,0.000207988,0.000207988
30,140.175,0,8.23521,0,0,0,0,0,0,10.8291,0,0.000205844,0.000205844,0.000205844
31,144.727,0,8.23126,0,0,0,0,0,0,10.2982,0,0.000203041,0.000203041,0.000203041
32,149.858,0,8.08928,0,0,0,0,0,0,10.2982,0,0.000199577,0.000199577,0.000199577
33,154.716,0,8.15451,0,0,0,0,0,0,9.87272,0,0.000195452,0.000195452,0.000195452
34,159.849,0,7.9995,0,0,0,0,0,0,9.87272,0,0.000190668,0.000190668,0.000190668
35,165.616,0,7.95734,0,0,0,0,0,0,9.60853,0,0.000185224,0.000185224,0.000185224
36,171.61,0,7.93107,0,0,0,0,0,0,9.60853,0,0.000179119,0.000179119,0.000179119
37,176.57,0,7.882,0,0,0,0,0,0,9.43945,0,0.000172354,0.000172354,0.000172354
38,181.612,0,7.82972,0,0,0,0,0,0,9.43945,0,0.00016493,0.00016493,0.00016493
39,187.129,0,7.86058,0,0,0,0,0,0,9.32287,0,0.000156845,0.000156845,0.000156845
40,192.752,0,7.7417,0,0,0,0,0,0,9.32287,0,0.0001481,0.0001481,0.0001481
41,197.945,0,7.77094,0,0,0,0,0,0,9.23032,0,0.000138694,0.000138694,0.000138694
42,203.009,0,7.75648,0,0,0,0,0,0,9.23032,0,0.000128629,0.000128629,0.000128629
43,207.983,0,7.72054,0,0,0,0,0,0,9.12065,0,0.000117904,0.000117904,0.000117904
44,212.963,0,7.71302,0,0,0,0,0,0,9.12065,0,0.000106518,0.000106518,0.000106518
45,219.146,0,7.66198,0,0,0,0,0,0,9.01138,0,9.44722e-05,9.44722e-05,9.44722e-05
46,224.112,0,7.63708,0,0,0,0,0,0,9.01138,0,8.17663e-05,8.17663e-05,8.17663e-05
47,229.299,0,7.5992,0,0,0,0,0,0,8.91416,0,6.84003e-05,6.84003e-05,6.84003e-05
48,234.428,0,7.57111,0,0,0,0,0,0,8.91416,0,5.43742e-05,5.43742e-05,5.43742e-05
49,239.057,0,7.56116,0,0,0,0,0,0,8.84743,0,3.96879e-05,3.96879e-05,3.96879e-05
50,243.707,0,7.53793,0,0,0,0,0,0,8.84743,0,2.43415e-05,2.43415e-05,2.43415e-05
