epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79066,0,73.3365,0,0,0,0,0,0,54.7523,0,0,0,0
2,7.52395,0,84.9912,0,0,0,0,0,0,53.4188,0,1.63399e-05,1.63399e-05,1.63399e-05
3,11.8857,0,90.0524,0,0,0,0,0,0,51.0596,0,3.20197e-05,3.20197e-05,3.20197e-05
4,15.4864,0,72.4591,0,0,0,0,0,0,48.5324,0,4.70394e-05,4.70394e-05,4.70394e-05
5,19.094,0,77.0558,0,0,0,0,0,0,44.8771,0,6.13989e-05,6.13989e-05,6.13989e-05
6,22.7369,0,71.1326,0,0,0,0,0,0,40.9745,0,7.50984e-05,7.50984e-05,7.50984e-05
7,26.3653,0,46.1374,0,0,0,0,0,0,37.2165,0,8.81376e-05,8.81376e-05,8.81376e-05
8,29.9458,0,40.8901,0,0,0,0,0,0,32.6354,0,0.000100517,0.000100517,0.000100517
9,33.6004,0,28.5837,0,0,0,0,0,0,30.1903,0,0.000112236,0.000112236,0.000112236
10,37.232,0,23.6939,0,0,0,0,0,0,36.0463,0,0.000123295,0.000123295,0.000123295
11,40.8613,0,17.9314,0,0,0,0,0,0,43.129,0,0.000133693,0.000133693,0.000133693
12,44.5031,0,13.3052,0,0,0,0,0,0,48.9958,0,0.000143432,0.000143432,0.000143432
13,48.1336,0,11.1231,0,0,0,0,0,0,39.2866,0,0.00015251,0.00015251,0.00015251
14,52.0712,0,10.6337,0,0,0,0,0,0,31.8529,0,0.000160929,0.000160929,0.000160929
15,55.7642,0,9.99624,0,0,0,0,0,0,25.1283,0,0.000168687,0.000168687,0.000168687
16,59.5574,0,9.80917,0,0,0,0,0,0,21.3901,0,0.000175785,0.000175785,0.000175785
17,63.2026,0,9.37286,0,0,0,0,0,0,18.6134,0,0.000182223,0.000182223,0.000182223
18,66.8085,0,9.28581,0,0,0,0,0,0,18.6134,0,0.000188001,0.000188001,0.000188001
19,70.3977,0,9.23079,0,0,0,0,0,0,15.9262,0,0.000193119,0.000193119,0.000193119
20,73.9583,0,9.04693,0,0,0,0,0,0,15.9262,0,0.000197576,0.000197576,0.000197576
21,77.7144,0,9.0481,0,0,0,0,0,0,14.102,0,0.000201374,0.000201374,0.000201374
22,81.4781,0,8.8417,0,0,0,0,0,0,14.102,0,0.000204511,0.000204511,0.000204511
23,85.5924,0,8.88051,0,0,0,0,0,0,12.8922,0,0.000206988,0.000206988,0.000206988
24,89.1861,0,8.78024,0,0,0,0,0,0,12.8922,0,0.000208805,0.000208805,0.000208805
25,92.936,0,8.66866,0,0,0,0,0,0,12.0527,0,0.000209962,0.000209962,0.000209962
26,96.6475,0,8.59542,0,0,0,0,0,0,12.0527,0,0.000210459,0.000210459,0.000210459
27,100.396,0,8.55056,0,0,0,0,0,0,11.4035,0,0.000210295,0.000210295,0.000210295
28,104.043,0,8.39491,0,0,0,0,0,0,11.4035,0,0.000209472,0.000209472,0.000209472
29,107.683,0,8.38598,0,0,0,0,0,0,10.8715,0,0.000207988,0.000207988,0.000207988
30,111.301,0,8.24661,0,0,0,0,0,0,10.8715,0,0.000205844,0.000205844,0.000205844
31,114.955,0,8.2458,0,0,0,0,0,0,10.4161,0,0.000203041,0.000203041,0.000203041
32,118.532,0,8.05434,0,0,0,0,0,0,10.4161,0,0.000199577,0.000199577,0.000199577
33,122.211,0,8.12165,0,0,0,0,0,0,10.0364,0,0.000195452,0.000195452,0.000195452
34,125.83,0,7.97554,0,0,0,0,0,0,10.0364,0,0.000190668,0.000190668,0.000190668
35,129.947,0,7.94849,0,0,0,0,0,0,9.80341,0,0.000185224,0.000185224,0.000185224
36,133.603,0,7.88952,0,0,0,0,0,0,9.80341,0,0.000179119,0.000179119,0.000179119
37,137.275,0,7.8867,0,0,0,0,0,0,9.63818,0,0.000172354,0.000172354,0.000172354
38,141.201,0,7.803,0,0,0,0,0,0,9.63818,0,0.00016493,0.00016493,0.00016493
39,144.995,0,7.84978,0,0,0,0,0,0,9.50852,0,0.000156845,0.000156845,0.000156845
40,149.174,0,7.72203,0,0,0,0,0,0,9.50852,0,0.0001481,0.0001481,0.0001481
41,153.052,0,7.75222,0,0,0,0,0,0,9.38652,0,0.000138694,0.000138694,0.000138694
42,156.747,0,7.75797,0,0,0,0,0,0,9.38652,0,0.000128629,0.000128629,0.000128629
43,160.73,0,7.737,0,0,0,0,0,0,9.25212,0,0.000117904,0.000117904,0.000117904
44,164.497,0,7.7164,0,0,0,0,0,0,9.25212,0,0.000106518,0.000106518,0.000106518
45,168.246,0,7.64764,0,0,0,0,0,0,9.12581,0,9.44722e-05,9.44722e-05,9.44722e-05
46,172.244,0,7.64205,0,0,0,0,0,0,9.12581,0,8.17663e-05,8.17663e-05,8.17663e-05
47,176.441,0,7.60391,0,0,0,0,0,0,9.00842,0,6.84003e-05,6.84003e-05,6.84003e-05
48,180.365,0,7.56969,0,0,0,0,0,0,9.00842,0,5.43742e-05,5.43742e-05,5.43742e-05
49,184.526,0,7.54539,0,0,0,0,0,0,8.93614,0,3.96879e-05,3.96879e-05,3.96879e-05
50,188.376,0,7.54361,0,0,0,0,0,0,8.93614,0,2.43415e-05,2.43415e-05,2.43415e-05
