epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88196,0,73.3365,0,0,0,0,0,0,54.7523,0,0,0,0
2,9.69654,0,84.9912,0,0,0,0,0,0,53.4188,0,1.63399e-05,1.63399e-05,1.63399e-05
3,14.4031,0,90.0524,0,0,0,0,0,0,51.0596,0,3.20197e-05,3.20197e-05,3.20197e-05
4,18.8108,0,72.4591,0,0,0,0,0,0,48.5324,0,4.70394e-05,4.70394e-05,4.70394e-05
5,22.6685,0,77.0558,0,0,0,0,0,0,44.8771,0,6.13989e-05,6.13989e-05,6.13989e-05
6,26.8109,0,71.1326,0,0,0,0,0,0,40.9745,0,7.50984e-05,7.50984e-05,7.50984e-05
7,30.704,0,46.1374,0,0,0,0,0,0,37.2165,0,8.81376e-05,8.81376e-05,8.81376e-05
8,35.27,0,40.8901,0,0,0,0,0,0,32.6354,0,0.000100517,0.000100517,0.000100517
9,39.9203,0,28.5837,0,0,0,0,0,0,30.1903,0,0.000112236,0.000112236,0.000112236
10,45.027,0,23.6939,0,0,0,0,0,0,36.0463,0,0.000123295,0.000123295,0.000123295
11,49.7299,0,17.9314,0,0,0,0,0,0,43.129,0,0.000133693,0.000133693,0.000133693
12,54.7411,0,13.3052,0,0,0,0,0,0,48.9958,0,0.000143432,0.000143432,0.000143432
13,59.8543,0,11.1231,0,0,0,0,0,0,39.2866,0,0.00015251,0.00015251,0.00015251
14,65.9285,0,10.6337,0,0,0,0,0,0,31.8529,0,0.000160929,0.000160929,0.000160929
15,70.36,0,9.99624,0,0,0,0,0,0,25.1283,0,0.000168687,0.000168687,0.000168687
16,74.5815,0,9.80917,0,0,0,0,0,0,21.3901,0,0.000175785,0.000175785,0.000175785
17,80.5368,0,9.37286,0,0,0,0,0,0,18.6134,0,0.000182223,0.000182223,0.000182223
18,86.4809,0,9.28581,0,0,0,0,0,0,18.6134,0,0.000188001,0.000188001,0.000188001
19,92.2524,0,9.23079,0,0,0,0,0,0,15.9262,0,0.000193119,0.000193119,0.000193119
20,97.4187,0,9.04693,0,0,0,0,0,0,15.9262,0,0.000197576,0.000197576,0.000197576
21,102.1,0,9.0481,0,0,0,0,0,0,14.102,0,0.000201374,0.000201374,0.000201374
22,106.231,0,8.8417,0,0,0,0,0,0,14.102,0,0.000204511,0.000204511,0.000204511
23,110.378,0,8.88051,0,0,0,0,0,0,12.8922,0,0.000206988,0.000206988,0.000206988
