epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07325,0,70.6341,0,0,0,0,0,0,54.8526,0,0,0,0
2,8.27547,0,82.8886,0,0,0,0,0,0,53.6973,0,1.63399e-05,1.63399e-05,1.63399e-05
3,12.2681,0,89.9149,0,0,0,0,0,0,51.3127,0,3.20197e-05,3.20197e-05,3.20197e-05
4,15.9972,0,71.3703,0,0,0,0,0,0,48.8224,0,4.70394e-05,4.70394e-05,4.70394e-05
5,19.8045,0,76.4032,0,0,0,0,0,0,46.2297,0,6.13989e-05,6.13989e-05,6.13989e-05
6,24.1992,0,71.6391,0,0,0,0,0,0,47.1093,0,7.50984e-05,7.50984e-05,7.50984e-05
7,28.8018,0,46.704,0,0,0,0,0,0,55.3841,0,8.81376e-05,8.81376e-05,8.81376e-05
8,33.3218,0,40.7741,0,0,0,0,0,0,66.4582,0,0.000100517,0.000100517,0.000100517
9,38.4795,0,29.4497,0,0,0,0,0,0,74.4059,0,0.000112236,0.000112236,0.000112236
10,43.3463,0,25.2386,0,0,0,0,0,0,63.8965,0,0.000123295,0.000123295,0.000123295
11,47.38,0,17.1191,0,0,0,0,0,0,57.9074,0,0.000133693,0.000133693,0.000133693
12,51.0894,0,12.9764,0,0,0,0,0,0,54.4157,0,0.000143432,0.000143432,0.000143432
13,55.1939,0,11.2742,0,0,0,0,0,0,51.3194,0,0.00015251,0.00015251,0.00015251
14,61.6109,0,10.7255,0,0,0,0,0,0,46.3535,0,0.000160929,0.000160929,0.000160929
15,67.5624,0,10.0346,0,0,0,0,0,0,43.9552,0,0.000168687,0.000168687,0.000168687
16,72.3865,0,9.74461,0,0,0,0,0,0,44.3204,0,0.000175785,0.000175785,0.000175785
17,77.4508,0,9.43443,0,0,0,0,0,0,54.7482,0,0.000182223,0.000182223,0.000182223
18,82.1984,0,9.24648,0,0,0,0,0,0,54.7482,0,0.000188001,0.000188001,0.000188001
19,87.081,0,9.20992,0,0,0,0,0,0,51.6664,0,0.000193119,0.000193119,0.000193119
20,91.7797,0,9.03071,0,0,0,0,0,0,51.6664,0,0.000197576,0.000197576,0.000197576
21,96.6871,0,9.04926,0,0,0,0,0,0,42.4063,0,0.000201374,0.000201374,0.000201374
22,101.549,0,8.87475,0,0,0,0,0,0,42.4063,0,0.000204511,0.000204511,0.000204511
23,106.482,0,8.86976,0,0,0,0,0,0,32.5589,0,0.000206988,0.000206988,0.000206988
24,111.595,0,8.77825,0,0,0,0,0,0,32.5589,0,0.000208805,0.000208805,0.000208805
