epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3146,0,68.9913,0,0,0,0,0,0,54.7822,0,0,0,0
2,9.59822,0,82.0022,0,0,0,0,0,0,53.4751,0,1.63399e-05,1.63399e-05,1.63399e-05
3,14.6564,0,88.7397,0,0,0,0,0,0,50.965,0,3.20197e-05,3.20197e-05,3.20197e-05
4,19.2043,0,72.7675,0,0,0,0,0,0,48.4555,0,4.70394e-05,4.70394e-05,4.70394e-05
5,23.4955,0,75.163,0,0,0,0,0,0,45.6074,0,6.13989e-05,6.13989e-05,6.13989e-05
6,27.8166,0,73.3825,0,0,0,0,0,0,46.4626,0,7.50984e-05,7.50984e-05,7.50984e-05
7,31.909,0,45.7324,0,0,0,0,0,0,56.1812,0,8.81376e-05,8.81376e-05,8.81376e-05
8,37.6538,0,41.5693,0,0,0,0,0,0,67.4495,0,0.000100517,0.000100517,0.000100517
